Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.0,0.0,0.0,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.0,6,47.08,-17.04,-1.28
1,2,0.0,0.0,0.0,9,47.08,-17.04,-1.28
1,2,0.0,0.0,0.0,12,47.08,-17.06,-1.28
1,2,0.0,0.0,0.0,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.0,18,47.08,-16.92,-1.27
1,2,0.0,0.0,0.2,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.2,6,47.08,-17.04,-1.28
1,2,0.0,0.0,0.2,9,47.08,-17.04,-1.28
1,2,0.0,0.0,0.2,12,47.08,-17.06,-1.28
1,2,0.0,0.0,0.2,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.2,18,47.08,-16.92,-1.27
1,2,0.0,0.0,0.4,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.4,6,47.08,-17.04,-1.28
1,2,0.0,0.0,0.4,9,47.08,-17.04,-1.28
1,2,0.0,0.0,0.4,12,47.08,-17.06,-1.28
1,2,0.0,0.0,0.4,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.4,18,47.08,-16.92,-1.27
1,2,0.0,0.0,0.6,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.6,6,47.08,-17.04,-1.28
1,2,0.0,0.0,0.6,9,47.08,-17.04,-1.28
1,2,0.0,0.0,0.6,12,47.08,-17.06,-1.28
1,2,0.0,0.0,0.6,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.6,18,47.08,-16.92,-1.27
1,2,0.0,0.0,0.8,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.8,6,47.08,-17.04,-1.28
1,2,0.0,0.0,0.8,9,47.08,-17.04,-1.28
1,2,0.0,0.0,0.8,12,47.08,-17.06,-1.28
1,2,0.0,0.0,0.8,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.8,18,47.08,-16.92,-1.27
1,2,0.0,0.0,1.0,3,47.1,-16.9,-1.27
1,2,0.0,0.0,1.0,6,47.08,-17.04,-1.28
1,2,0.0,0.0,1.0,9,47.08,-17.04,-1.28
1,2,0.0,0.0,1.0,12,47.08,-17.06,-1.28
1,2,0.0,0.0,1.0,15,47.08,-17.06,-1.28
1,2,0.0,0.0,1.0,18,47.08,-16.92,-1.27
1,2,0.0,0.0,1.2,3,47.1,-16.9,-1.27
