Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.0,0.0,0.0,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.0,7,47.08,-17.04,-1.28
1,2,0.0,0.0,0.0,11,47.08,-17.06,-1.28
1,2,0.0,0.0,0.0,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.0,19,47.08,-16.92,-1.27
1,2,0.0,0.0,0.3,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.3,7,47.08,-17.04,-1.28
1,2,0.0,0.0,0.3,11,47.08,-17.06,-1.28
1,2,0.0,0.0,0.3,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.3,19,47.08,-16.92,-1.27
1,2,0.0,0.0,0.6,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.6,7,47.08,-17.04,-1.28
1,2,0.0,0.0,0.6,11,47.08,-17.06,-1.28
1,2,0.0,0.0,0.6,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.6,19,47.08,-16.92,-1.27
1,2,0.0,0.0,0.9,3,47.1,-16.9,-1.27
1,2,0.0,0.0,0.9,7,47.08,-17.04,-1.28
1,2,0.0,0.0,0.9,11,47.08,-17.06,-1.28
1,2,0.0,0.0,0.9,15,47.08,-17.06,-1.28
1,2,0.0,0.0,0.9,19,47.08,-16.92,-1.27
1,2,0.0,0.0,1.2,3,47.1,-16.9,-1.27
1,2,0.0,0.0,1.2,7,47.08,-17.04,-1.28
1,2,0.0,0.0,1.2,11,47.08,-17.06,-1.28
1,2,0.0,0.0,1.2,15,47.08,-17.06,-1.28
1,2,0.0,0.0,1.2,19,47.08,-16.92,-1.27
1,2,0.0,0.0,1.5,3,47.1,-16.9,-1.27
1,2,0.0,0.0,1.5,7,47.08,-17.04,-1.28
1,2,0.0,0.0,1.5,11,47.08,-17.06,-1.28
1,2,0.0,0.0,1.5,15,47.08,-17.06,-1.28
1,2,0.0,0.0,1.5,19,47.08,-16.92,-1.27
1,2,0.0,0.0,1.8,3,47.1,-16.9,-1.27
1,2,0.0,0.0,1.8,7,47.08,-17.04,-1.28
1,2,0.0,0.0,1.8,11,47.08,-17.06,-1.28
1,2,0.0,0.0,1.8,15,47.08,-17.06,-1.28
1,2,0.0,0.0,1.8,19,47.08,-16.92,-1.27
1,2,0.0,0.0,2.1,3,47.1,-16.9,-1.27
1,2,0.0,0.0,2.1,7,47.08,-17.04,-1.28
1,2,0.0,0.0,2.1,11,47.08,-17.06,-1.28
1,2,0.0,0.0,2.1,15,47.08,-17.06,-1.28
1,2,0.0,0.0,2.1,19,47.08,-16.92,-1.27
1,2,0.0,0.3,0.0,3,38.22,-25.09,-1.88
1,2,0.0,0.3,0.0,7,37.92,-25.37,-1.9
1,2,0.0,0.3,0.0,11,37.73,-25.19,-1.89
1,2,0.0,0.3,0.0,15,37.65,-25.04,-1.87
1,2,0.0,0.3,0.0,19,37.49,-26.14,-1.97
1,2,0.0,0.3,0.3,3,38.28,-25.13,-1.88
1,2,0.0,0.3,0.3,7,37.99,-25.49,-1.92
1,2,0.0,0.3,0.3,11,37.78,-25.88,-1.95
1,2,0.0,0.3,0.3,15,37.72,-25.78,-1.94
1,2,0.0,0.3,0.3,19,37.55,-26.87,-2.04
1,2,0.0,0.3,0.6,3,38.28,-25.13,-1.88
1,2,0.0,0.3,0.6,7,37.99,-25.49,-1.92
1,2,0.0,0.3,0.6,11,37.78,-25.88,-1.95
1,2,0.0,0.3,0.6,15,37.72,-25.78,-1.94
1,2,0.0,0.3,0.6,19,37.55,-26.87,-2.04
1,2,0.0,0.3,0.9,3,38.28,-25.13,-1.88
1,2,0.0,0.3,0.9,7,37.99,-25.49,-1.92
1,2,0.0,0.3,0.9,11,37.78,-25.88,-1.95
1,2,0.0,0.3,0.9,15,37.72,-25.78,-1.94
1,2,0.0,0.3,0.9,19,37.55,-26.87,-2.04
1,2,0.0,0.3,1.2,3,38.28,-25.13,-1.88
1,2,0.0,0.3,1.2,7,37.99,-25.49,-1.92
1,2,0.0,0.3,1.2,11,37.78,-25.88,-1.95
1,2,0.0,0.3,1.2,15,37.72,-25.78,-1.94
1,2,0.0,0.3,1.2,19,37.55,-26.87,-2.04
1,2,0.0,0.3,1.5,3,38.28,-25.13,-1.88
1,2,0.0,0.3,1.5,7,37.99,-25.49,-1.92
1,2,0.0,0.3,1.5,11,37.78,-25.88,-1.95
1,2,0.0,0.3,1.5,15,37.72,-25.78,-1.94
1,2,0.0,0.3,1.5,19,37.55,-26.87,-2.04
1,2,0.0,0.3,1.8,3,38.28,-25.13,-1.88
1,2,0.0,0.3,1.8,7,37.99,-25.49,-1.92
